"crashid","OnLocStreet","AtLocStreet"
"0070141257","CST SUNFLOWER ST","CST MAYBERRY DR"
"0070133163","CST SOUTHAMPTON DR","CST EXECUTIVE DR"
"0070138710","CRD LIMOGES DR","CRD TRIKALLA DR"
"0070134869","CST OAKLAND","CST NORTHRIDGE"
"0070134876","CST NIFONG BLVD","CST WOODSEDGE"
"0070144742","CST WORLEY ST","CST HARDIN ST"
"0070144767","CST ASH","CST GARTH ST"
"0070140126","CST VANDIVER","MO 163"
"0070140152","CST COOPER MOUNTAIN DR","CST ASPEN RIDGE DR"
"0070144772","CST DERBY RIDGE","CST BROWN SCHOOL"
"0070144776","CST BERNADETTE","CST WORLEY"
"0070144797","CST EIGHTH","CST WILKES"
"0070140194","CST ROGERS","CST TENTH"
"0070140197","CRD WAGON TRAIL RD","CRD WAGON TRAIL HEIGHTS W"
"0070140204","CST HAMPTON","CST BRANDON WOODS"
"0070105546","CST ASH","CST MCBAINE"
"0070140182","CST FORUM","CST WOODRAIL AVE"
"0070133088","CST WORLEY ST","CST FAIRVIEW RD"
"0070133094","CST ST CHARLES","CST KEENE"
"0070149823","CST QUARRY RD","CRD GANS RD"
"0070132308","CST OLD HWY 63","CST JACK ESTES"
"0070133090","CST FAIRVIEW RD","CST ASH ST"
"0070108098","PVT MICK DEAVER DR","MO 740"
"0070108105","CST ROLLINS ST","PVT VIRGINIA AVE"
"0070108373","CST BLAIR CT","DEAD END"
"0070108381","CST OLD PLANK RD","CST GLASGOW DR"
"0070144778","CST BUCKNER ST","CST ASH"
"0070144780","CST MAPLE GROVE WAY","CST BETHAL"
"0070108729","CST WHITEGATE","CST SYLVAN"
"0070108737","CST ASH","CST NINTH"
"0070108756","CST BLUE RIDGE RD","CST BADGER CT"
"0070108785","CST FIR PL","CST LAKEVIEW"
"0070108792","CST PARKSIDE DR","CST CREASY SPRINGS"
"0070144779","CST TOWNE DR","CST WHITEGATE DR"
"0070140129","CST FAIRVIEW","CST CHAPEL HILL"
"0070110903","CST SOUTHBROOK CT","RT K S"
"0070148049","CST BROWN STATION RD","UNKNOWN"
"0070148569","CST 6TH ST","CST CONLEY AVE"
"0070152005","CRD MONT ST","CRD CHRIS DR"
