VehicleId,CrashId,VehicleLicenseState,VehicleLicenseYear,VehicleYear,VehicleMake,VehicleModel,VehicleColorCd1,VehiclecolorCd2,VehicleUsageTypeCd,NumberOfOccupants,VehicleBodyTypeCd,VehicleBusTypeCd,MCATVNumberOfWheels,OtherVehicleTypeCd,CVECargoBodyTypeCd,VehiclePullingOtherUnitCd,GCVWRatingCd,VehiclePublicConveyanceInd,EmergencyVehicleInvolvedInd,EmergencyVehicleOnRunInd,NoVehicleDamageQualCntl,InitialVehicleDamage,InitialImpactNA,InterstateCarrierInd,HazardousMaterialPresent,HazardousMaterialInvolved,PlacardDisplayed,HazmatClass,HazmatPlacardDiaNumber,HazardousMaterialReleased,DriverPresenceCd,OwnerDriverInd,OperatorLicenseState,OperatorLicenseType,DriverLicenseClass,MotorcycleQualified,OperatorLicenseStatus,InsuredDriverVehicleInd,InsuranceInd,InsuranceExpired,PreCrashTravelDirection,TrafficCondition,TrafficCntlMalfunctionInd,WorkZoneInd,WorkerPresentInd,TrafficCntlElectricalSignal,PedalcycleToFromSchoolInd,TowedFromScene,TowedBecauseDisabled,InitialImpactInd,AnimalCd1,AnimalCd2,AnimalCd3,AnimalCd4,VehicleActionCd1,VehicleActionCd2,VehicleActionCd3,VehicleActionCd4,VehicleActionCd5,VehicleActionCd6,VehicleActionCd7,VehicleActionCd8,VehicleActionCd9,VehicleActionCd10,VehicleActionCd11,VehicleActionCd12,VehicleActionCd13,VehicleActionCd14,VehicleActionCd15,TrafficControlOtherCd1,TrafficControlOtherCd2,TrafficControlOtherCd3,TrafficControlOtherCd4,TrafficControlOtherCd5,TrafficControlOtherCd6,TrafficControlOtherCd7,TrafficControlOtherCd8,TrafficControlOtherCd9,TrafficControlOtherCd10,DamageCd1,DamageCd2,DamageCd3,DamageCd4,DamageCd5,DamageCd6,DamageCd7,DamageCd8,DamageCd9,DamageCd10,DamageCd11,DamageCd12,DamageCd13,DamageCd14,DamageCd15,DamageCd16,DamageCd17,DamageCd18,DamageCd19,DamageCd20,DamageCd21,DamageCd22,DamageCd23,DamageCd24,DamageCd25,FixedObjectCd1,FixedObjectCd2,FixedObjectCd3,FixedObjectCd4,FixedObjectCd5,FixedObjectCd6,FixedObjectCd7,FixedObjectCd8,VisionObstructedCd1,VisionObstructedCd2,VisionObstructedCd3,VisionObstructedCd4,VisionObstructedCd5
0150026153V1,0150026153,MO,2016,2010,NISS,,GRY,NA,1,1,1,N,NA,NA,NA,N,NA,N,NA,,N,2,N,NA,NA,,NA,NA,NA,NA,1,Y,MO,1,F,NA,1,NA,N,V,S,NA,NA,N,NA,12,NA,Y,Y,,,,,,1,20,29,17,7,20,22,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
0150026253V1,0150026253,MO,2015,1995,BUIC,,UNK,NA,1,1,1,N,NA,NA,NA,N,NA,N,NA,,N,14,N,NA,NA,,NA,NA,NA,NA,1,Y,MO,1,F,NA,1,NA,Y,V,N,NA,NA,N,NA,12,NA,N,N,,,,,,14,34,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
0150026257V1,0150026257,MO,2016,2000,MITS,,UNK,NA,1,1,1,N,NA,NA,NA,N,NA,N,NA,,N,14,N,NA,NA,,NA,NA,NA,NA,1,Y,MO,1,F,NA,1,NA,Y,V,E,NA,N,N,NA,13,NA,N,N,,,,,,12,5,34,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
0150014582V2,0150014582,MO,2015,2005,DODG,,UNK,NA,1,1,1,N,NA,NA,NA,N,NA,N,NA,,N,2,N,NA,NA,,NA,NA,NA,NA,1,N,MO,1,F,NA,1,NA,Y,V,S,NA,N,N,NA,13,NA,Y,Y,,,,,,1,34,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
0150014586V2,0150014586,MO,2016,2006,FORD,,UNK,NA,1,1,1,N,NA,NA,NA,N,NA,N,NA,,N,2,N,NA,NA,,NA,NA,NA,NA,1,Y,MO,1,F,NA,1,NA,Y,V,W,NA,N,N,NA,13,NA,Y,Y,,,,,,1,34,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
0150014590V1,0150014590,TX,2015,2009,HOND,,UNK,NA,1,1,1,N,NA,NA,NA,N,NA,N,NA,,N,13,N,NA,NA,,NA,NA,NA,NA,1,N,MO,1,F,NA,1,NA,Y,V,S,NA,NA,N,NA,12,NA,Y,Y,,,,,,1,15,21,36,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,12,,,,
0150020787V1,0150020787,MO,2016,2010,TOYT,,UNK,NA,1,1,1,N,NA,NA,NA,N,NA,N,NA,,N,1,N,NA,NA,,NA,NA,NA,NA,1,Y,MO,1,F,NA,1,NA,Y,V,S,4,N,N,NA,13,NA,N,N,,,,,,5,15,34,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
0150020791V2,0150020791,MO,2015,2012,FORD,,UNK,NA,1,1,1,N,NA,NA,NA,N,NA,N,NA,,N,10,N,NA,NA,,NA,NA,NA,NA,1,N,MO,1,F,NA,1,NA,Y,V,N,NA,NA,N,NA,12,NA,N,N,,,,,,1,8,5,34,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
0150020796V2,0150020796,IL,2015,2006,JEEP,,NA,NA,2,0,3,N,NA,NA,NA,N,NA,N,NA,,N,14,N,NA,NA,,NA,NA,NA,NA,N,N,NA,NA,,NA,NA,NA,Y,V,W,NA,NA,N,NA,12,NA,N,N,,,,,,13,34,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0150020797V1,0150020797,TX,2015,2002,LEXS,,NA,NA,1,1,1,N,NA,NA,NA,N,NA,N,NA,,N,13,N,NA,NA,,NA,NA,NA,NA,1,N,TX,1,F,NA,1,NA,Y,V,S,NA,NA,N,NA,12,NA,N,N,,,,,,9,5,34,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
